#Symbol	ID	Name	Occur	Paper	MatchStr	PMID
ENDOG	3346	endonuclease G	2	2	endoG | endonuclease g | 	16050975,14739060,
IL1A	5991	interleukin 1, alpha	2	2	IL1 | interleukin 1 | 	14739060,15896810,
MYC	7553	v-myc myelocytomatosis viral oncogene homolog (avian)	2	2	myc | Myc | 	15896810,16227974,
NDUFS4	7711	NADH dehydrogenase (ubiquinone) Fe-S protein 4, 18kDa (NADH-coenzyme Q reductase)	2	2	mitochondrial respiratory chain complex i | 	15964487,16050975,
NPC2	14537	Niemann-Pick disease, type C2	2	2	NPC2 | 	18414597,18751914,
PLCB1	15917	phospholipase C, beta 1 (phosphoinositide-specific)	2	2	phospholipase c | 	10643818,17105868,
PRDX1	9352	peroxiredoxin 1	2	2	Prx1 | Prx-1 | 	14648077,17191135,
RNF123	21148	ring finger protein 123	2	2	ubiquitin ligase | 	14739060,17584954,
SLC6A3	11049	solute carrier family 6 (neurotransmitter transporter, dopamine), member 3	2	2	dopamine transporter | 	12893007,15031734,
UBC	12468	ubiquitin C	2	2	ubiquitin c | 	16043017,16227974,
WRN	12791	Werner syndrome	71	1	WRN | werner syndrome | 	17174478,
ERCC3	3435	excision repair cross-complementing rodent repair deficiency, complementation group 3 (xeroderma pigmentosum group B complementing)	63	1	TFIIH | XPB | XPB-family | 	17174478,
TNFRSF1B	11917	tumor necrosis factor receptor superfamily, member 1B	63	1	p75 | 	17634371,
FKBP1A	3711	FK506 binding protein 1A, 12kDa	43	1	rotamase | 	10077670,
PIK3CG	8978	phosphoinositide-3-kinase, catalytic, gamma polypeptide	42	1	PI3-K | pi3 kinase | 	12654515,
UCHL1	12513	ubiquitin carboxyl-terminal esterase L1 (ubiquitin thiolesterase)	42	1	UCH-L1 | uch l1 | 	16043017,
APEX1	587	APEX nuclease (multifunctional DNA repair enzyme) 1	31	1	APE | apurinic/apyrimidinic endonuclease | ape 1 | 	9172131,
PPIA	9253	peptidylprolyl isomerase A (cyclophilin A)	24	1	CyPA | 	10077670,
NR1H2	7965	nuclear receptor subfamily 1, group H, member 2	21	1	NER | NER-specific | 	17174478,
TPT1	12022	tumor protein, translationally-controlled 1	17	1	TCTP | 	16043017,
C4BPA	1325	complement component 4 binding protein, alpha	16	1	PrP | 	10742195,
RAC1	9801	ras-related C3 botulinum toxin substrate 1 (rho family, small GTP binding protein Rac1)	14	1	Rac1 | 	18219386,
CASP8	1509	caspase 8, apoptosis-related cysteine peptidase	13	1	caspase-8 | caspase 8 | 	17105868,
FADD	3573	Fas (TNFRSF6)-associated via death domain	12	1	FADD | 	17105868,
SLC1A7	10945	solute carrier family 1 (glutamate transporter), member 7	11	1	EAAT5 | 	9745361,
SLC1A1	10939	solute carrier family 1 (neuronal/epithelial high affinity glutamate transporter, system Xag), member 1	10	1	EAAC1 | EAAT3 | EAAC1-knockout | 	9745361,
SMPD2	11121	sphingomyelin phosphodiesterase 2, neutral membrane (neutral sphingomyelinase)	10	1	nSMase | 	17634371,
DDOST	2728	dolichyl-diphosphooligosaccharide-protein glycosyltransferase	9	1	AGE-R1 | OST48 | age r1 | 	12663085,
GCLC	4311	glutamate-cysteine ligase, catalytic subunit	9	1	GCLC | glutamate cysteine ligase | glutamate cysteine ligase catalytic subunit | 	17634371,
PARP1	270	poly (ADP-ribose) polymerase family, member 1	9	1	PARP-1 | poly adp ribose polymerase | poly adp ribose polymerase 1 | 	17174478,
BLVRA	1062	biliverdin reductase A	8	1	BVR | 	17191135,
MPG	7211	N-methylpurine-DNA glycosylase	8	1	MPG | n methylpurine dna glycosylase | n methylpurine dna glycosylase mpg | 	9172131,
PPARGC1A	9237	peroxisome proliferator-activated receptor gamma, coactivator 1 alpha	8	1	PGC-1 | pgc 1 | 	17937892,
RAD50	9816	RAD50 homolog (S. cerevisiae)	8	1	Rad50 | 	17174478,
SHC1	10840	SHC (Src homology 2 domain containing) transforming protein 1	8	1	SHC | p66Shc | p66SHC | p66 | 	16227974,
DHCR24	2859	24-dehydrocholesterol reductase	7	1	seladin-1 | seladin 1 | 	16227974,
GCLM	4312	glutamate-cysteine ligase, modifier subunit	7	1	GCLM | GCL | glutamate cysteine ligase modifier subunit | 	17634371,
MRE11A	7230	MRE11 meiotic recombination 11 homolog A (S. cerevisiae)	7	1	Mre11 | 	17174478,
NCF1	7660	neutrophil cytosolic factor 1, (chronic granulomatous disease, autosomal 1)	7	1	p47 | 	18219386,
SLC1A6	10944	solute carrier family 1 (high affinity aspartate/glutamate transporter), member 6	7	1	EAAT4 | 	9745361,
BLM	1058	Bloom syndrome	6	1	BLM | bloom syndrome | 	17174478,
FEN1	3650	flap structure-specific endonuclease 1	6	1	FEN-1 | fen 1 | 	17174478,
MT-CYB	7427	mitochondrially encoded cytochrome b	6	1	cytochrome b | 	11050436,
NLRP2	22948	NLR family, pyrin domain containing 2	6	1	Nbs1 | 	17174478,
STUB1	11427	STIP1 homology and U-box containing protein 1	6	1	CHIP | 	17191135,
ADH1A	249	alcohol dehydrogenase 1A (class I), alpha polypeptide	5	1	aldehyde reductase | 	12663085,
BRIP1	20473	BRCA1 interacting protein C-terminal helicase 1	5	1	Bach1 | 	17191135,
FMO1	3769	flavin containing monooxygenase 1	5	1	FMO1 | 	17127561,
MAOA	6833	monoamine oxidase A	5	1	MAO-A | 	15480846,
NDUFS7	7714	NADH dehydrogenase (ubiquinone) Fe-S protein 7, 20kDa (NADH-coenzyme Q reductase)	5	1	PSST | 	11050436,
PDE5A	8784	phosphodiesterase 5A, cGMP-specific	5	1	PDE5 | 	12548704,
PRKCSH	9411	protein kinase C substrate 80K-H	5	1	AGE-R2 | 80k h protein | 	12663085,
RAD51	9817	RAD51 homolog (RecA homolog, E. coli) (S. cerevisiae)	5	1	Rad51 | RecA-like | 	17174478,
SIRT2	10886	sirtuin (silent mating type information regulation 2 homolog) 2 (S. cerevisiae)	5	1	SIR-2 | Sir2 | 	16227974,
TIPARP	23696	TCDD-inducible poly(ADP-ribose) polymerase	5	1	parp 1 | 	17174478,
XRCC6	4055	X-ray repair complementing defective repair in Chinese hamster cells 6 (Ku autoantigen, 70kDa)	5	1	Ku70 | 	17174478,
ACTB	132	actin, beta	4	1	beta-actin | beta actin | 	15031734,
CYBA	2577	cytochrome b-245, alpha polypeptide	4	1	p22 | p22 phox | 	18219386,
DMD	2928	dystrophin (muscular dystrophy, Duchenne and Becker types)	4	1	dystrophin | 	17496232,
IL6	6018	interleukin 6 (interferon, beta 2)	4	1	IL-6 | il 6 | 	17192933,
MAF	6776	v-maf musculoaponeurotic fibrosarcoma oncogene homolog (avian)	4	1	Maf | 	17191135,
MAP2K1	6840	mitogen-activated protein kinase kinase 1	4	1	MEK1 | 	12654515,
NTF4	8024	neurotrophin 4	4	1	NT-4 | NT-4/5 | nt 4/5 | 	17105868,
PIK3R1	8979	phosphoinositide-3-kinase, regulatory subunit 1 (alpha)	4	1	p85 | P85 | 	12654515,
PRKDC	9413	protein kinase, DNA-activated, catalytic polypeptide	4	1	DNA-PK | 	17174478,
SF1	12950	splicing factor 1	4	1	SF1 | 	17174478,
TCP1	11655	t-complex 1	4	1	TCP-1 | t complex 1 | 	15863242,
ABCD1	61	ATP-binding cassette, sub-family D (ALD), member 1	3	1	adrenoleukodystrophy | 	17317654,
BAX	959	BCL2-associated X protein	3	1	BAX | 	11679167,
DPYS	3013	dihydropyrimidinase	3	1	dihydropyrimidinase | 	15863242,
FBXO32	16731	F-box protein 32	3	1	MAFbx | Atrogin-1 | atrogin 1 | 	17584954,
MAL	6817	mal, T-cell differentiation protein	3	1	MAL-6-labeled | MAL-6-linked | MAL-6-spin | 	9675268,
MAOB	6834	monoamine oxidase B	3	1	MAO-B | 	15480846,
NCF4	7662	neutrophil cytosolic factor 4, 40kDa	3	1	p40 | 	18219386,
NTRK1	8031	neurotrophic tyrosine kinase, receptor, type 1	3	1	TrkA | tyrosine kinase receptor | 	17634371,
PCNA	8729	proliferating cell nuclear antigen	3	1	PCNA | 	17174478,
PDIA2	14180	protein disulfide isomerase family A, member 2	3	1	PDI | 	17678953,
PINK1	14581	PTEN induced putative kinase 1	3	1	PINK1 | 	16227974,
PPID	9257	peptidylprolyl isomerase D (cyclophilin D)	3	1	Cyp-D | cyclophilin d | cyp d | 	16624679,
SART3	16860	squamous cell carcinoma antigen recognized by T cells 3	3	1	p110 | P110 | 	12654515,
SIRT3	14931	sirtuin (silent mating type information regulation 2 homolog) 3 (S. cerevisiae)	3	1	SIRT3 | 	16227974,
XPA	12814	xeroderma pigmentosum, complementation group A	3	1	xeroderma pigmentosum | 	17174478,
ABCB7	48	ATP-binding cassette, sub-family B (MDR/TAP), member 7	2	1	Atm1p | 	11679167,
AGT	333	angiotensinogen (serpin peptidase inhibitor, clade A, member 8)	2	1	angiotensin i | angiotensin ii | 	15863242,
ALOX12	429	arachidonate 12-lipoxygenase	2	1	12 lipoxygenase | 	10643818,
CAST	1515	calpastatin	2	1	calpain inhibitor | 	15812313,
DFFB	2773	DNA fragmentation factor, 40kDa, beta polypeptide (caspase-activated DNase)	2	1	caspase activated dnase | 	14739060,
DNTT	2983	deoxynucleotidyltransferase, terminal	2	1	TdT | 	12614931,
DUOX2	13273	dual oxidase 2	2	1	DUOX2 | Duox2 | 	18219386,
EEF1A1	3189	eukaryotic translation elongation factor 1 alpha 1	2	1	EF-Tu-like | ef tu | 	15863242,
GGT1	4250	gamma-glutamyltransferase 1	2	1	glutamyl transpeptidase | 	10643818,
GLRX	4330	glutaredoxin (thioltransferase)	2	1	grx | glutaredoxin | 	11679167,
GSX2	24959	GS homeobox 2	2	1	GSH2 | 	11679167,
HSPA5	5238	heat shock 70kDa protein 5 (glucose-regulated protein, 78kDa)	2	1	GRP78 | 	15896810,
IGF1R	5465	insulin-like growth factor 1 receptor	2	1	IGF-1R | 	16194581,
IREB2	6115	iron-responsive element binding protein 2	2	1	IRP-2 | 	12909279,
JUND	6206	jun D proto-oncogene	2	1	JunD | 	16227974,
KEAP1	23177	kelch-like ECH-associated protein 1	2	1	Keap1 | 	17191135,
MYB	7545	v-myb myeloblastosis viral oncogene homolog (avian)	2	1	Myb | 	17191135,
NDUFS8	7715	NADH dehydrogenase (ubiquinone) Fe-S protein 8, 23kDa (NADH-coenzyme Q reductase)	2	1	TYKY | 	11050436,
NEFH	7737	neurofilament, heavy polypeptide 200kDa	2	1	NF-H | 	12663085,
NEFM	7734	neurofilament, medium polypeptide 150kDa	2	1	NF-M | nf m | 	12663085,
NFYA	7804	nuclear transcription factor Y, alpha	2	1	Hap2 | 	11679167,
NOX4	7891	NADPH oxidase 4	2	1	Nox4 | 	18219386,
NQO1	2874	NAD(P)H dehydrogenase, quinone 1	2	1	nadh dehydrogenase | 	17496232,
NTRK2	8032	neurotrophic tyrosine kinase, receptor, type 2	2	1	TrkB | 	17956327,
OGG1	8125	8-oxoguanine DNA glycosylase	2	1	OGG1 | OGG1-sensitive | 	11020331,
PDHA1	8806	pyruvate dehydrogenase (lipoamide) alpha 1	2	1	PDH | 	15812313,
PDHB	8808	pyruvate dehydrogenase (lipoamide) beta	2	1	pyruvate dehydrogenase | 	15812313,
POR	9208	P450 (cytochrome) oxidoreductase	2	1	nadph dependent cytochrome p450 reductase | 	17174478,
PSPH	9577	phosphoserine phosphatase	2	1	phosphoserine phosphatase | 	11513882,
RAD52	9824	RAD52 homolog (S. cerevisiae)	2	1	Rad52 | 	17174478,
RAD9A	9827	RAD9 homolog A (S. pombe)	2	1	RAD9-dependent | RAD9-independent | 	11679167,
RPS6KB1	10436	ribosomal protein S6 kinase, 70kDa, polypeptide 1	2	1	S6k | p70 s6k | 	17496232,
SLC2A3	11007	solute carrier family 2 (facilitated glucose transporter), member 3	2	1	glucose transporter type 3 | 	15031734,
SLC30A3	11014	solute carrier family 30 (zinc transporter), member 3	2	1	ZnT3 | 	10742195,
SOD3	11181	superoxide dismutase 3, extracellular	2	1	SOD3 | 	14648077,
TFAP2A	11742	transcription factor AP-2 alpha (activating enhancer binding protein 2 alpha)	2	1	AP-2 | ap 2 | 	17191135,
TPH1	12008	tryptophan hydroxylase 1 (tryptophan 5-monooxygenase)	2	1	tryptophan hydroxylase | 	11562447,
TSPO	1158	translocator protein (18kDa)	2	1	PBR | peripheral benzodiazepine receptor | 	16624679,
TYR	12442	tyrosinase (oculocutaneous albinism IA)	2	1	tyrosinase | 	10742195,
USP11	12609	ubiquitin specific peptidase 11	2	1	ubiquitin carboxyl terminal hydrolase | 	16043017,
ABCA4	34	ATP-binding cassette, sub-family A (ABC1), member 4	1	1	atp binding cassette transporter | 	11679167,
ABP1	80	amiloride binding protein 1 (amine oxidase (copper-containing))	1	1	ABP | 	17191135,
ACSS2	15814	acyl-CoA synthetase short-chain family member 2	1	1	acetyl coa synthetase | 	11562447,
ADCY10	21285	adenylate cyclase 10 (soluble)	1	1	adenylate cyclase | 	11679167,
AKR1A1	380	aldo-keto reductase family 1, member A1 (aldehyde reductase)	1	1	alcohol dehydrogenase | 	16227974,
ALPI	437	alkaline phosphatase, intestinal	1	1	alkaline phosphatase | 	10077670,
ARHGAP24	25361	Rho GTPase activating protein 24	1	1	p73 | 	17099894,
ATF2	784	activating transcription factor 2	1	1	ATF-2 | 	17496232,
ATP13A2	30213	ATPase type 13A2	1	1	putative atpase | 	11679167,
ATP5G1	841	ATP synthase, H+ transporting, mitochondrial F0 complex, subunit C1 (subunit 9)	1	1	atp synthase lipid binding protein | 	17191135,
AVEN	13509	apoptosis, caspase activation inhibitor	1	1	Aven | 	17099894,
BACH2	14078	BTB and CNC homology 1, basic leucine zipper transcription factor 2	1	1	Bach-2 | 	17191135,
BAD	936	BCL2-antagonist of cell death	1	1	BAD | 	16877542,
BAG3	939	BCL2-associated athanogene 3	1	1	bcl 2 binding protein | 	15896810,
BBS9	30000	Bardet-Biedl syndrome 9	1	1	C18 | 	16764863,
BRCA2	1101	breast cancer 2, early onset	1	1	BRCA2 | 	17174478,
C21orf2	1260	chromosome 21 open reading frame 2	1	1	nuclear encoded mitochondrial protein | 	11679167,
C2orf3	1317	chromosome 2 open reading frame 3	1	1	GCF | 	17191135,
C4orf6	13716	chromosome 4 open reading frame 6	1	1	expressed in neuroblastoma | 	10671549,
CALM1	1442	calmodulin 1 (phosphorylase kinase, delta)	1	1	calmodulin 1 | 	11513882,
CAMK2N1	24190	calcium/calmodulin-dependent protein kinase II inhibitor 1	1	1	calcium/calmodulin dependent protein kinase ii | 	11562447,
CASD1	16014	CAS1 domain containing 1	1	1	o acetyltransferase | 	11562447,
CASP2	1503	caspase 2, apoptosis-related cysteine peptidase (neural precursor cell expressed, developmentally down-regulated 2)	1	1	caspase 2 | 	16046141,
CCDC34	25079	coiled-coil domain containing 34	1	1	L15 | 	17634371,
CCT5	1618	chaperonin containing TCP1, subunit 5 (epsilon)	1	1	tcp 1 epsilon | 	15863242,
CD4	1678	CD4 molecule	1	1	CD4 | 	18210200,
CD47	1682	CD47 molecule	1	1	IAPs | 	12392777,
CD68	1693	CD68 molecule	1	1	CD68 | 	16877542,
CDK4	1773	cyclin-dependent kinase 4	1	1	cdk4 | 	17496232,
CEL	1848	carboxyl ester lipase (bile salt-stimulated lipase)	1	1	FAP | 	10643818,
CNTF	2169	ciliary neurotrophic factor	1	1	CNTF | 	8922414,
COL4A4	2206	collagen, type IV, alpha 4	1	1	collagen iv | 	12663085,
COX17	2264	COX17 cytochrome c oxidase assembly homolog (S. cerevisiae)	1	1	COX17 | 	12909279,
CRH	2355	corticotropin releasing hormone	1	1	CRH | 	17191135,
CRISP2	12024	cysteine-rich secretory protein 2	1	1	TPX1 | 	11679167,
CSF1	2432	colony stimulating factor 1 (macrophage)	1	1	macrophage colony stimulating factor | 	17496232,
CUZD1	17937	CUB and zona pellucida-like domains 1	1	1	erg 1 | 	15896810,
CYC1	2579	cytochrome c-1	1	1	cytochrome c 1 | 	11050436,
CYP2B6	2615	cytochrome P450, family 2, subfamily B, polypeptide 6	1	1	P450 | 	17174478,
DLEU2	13748	deleted in lymphocytic leukemia, 2	1	1	LEU2 | 	11796206,
DUOX1	3062	dual oxidase 1	1	1	Duox1 | 	18219386,
EPO	3415	erythropoietin	1	1	erythropoietin | 	15896810,
ETV4	3493	ets variant gene 4 (E1A enhancer binding protein, E1AF)	1	1	PEA-3 | 	17191135,
FGF1	3665	fibroblast growth factor 1 (acidic)	1	1	endothelial cell growth factor | 	16026864,
FHIT	3701	fragile histidine triad gene	1	1	tumor suppressor protein | 	10671549,
FLT1	3763	fms-related tyrosine kinase 1 (vascular endothelial growth factor/vascular permeability factor receptor)	1	1	Flt-1 | 	12654515,
FMN1	3768	formin 1	1	1	FMN | 	15896810,
GLO1	4323	glyoxalase I	1	1	glyoxalase i | 	12663085,
GLS	4331	glutaminase	1	1	glutaminase | 	14739060,
GORASP1	16769	golgi reassembly stacking protein 1, 65kDa	1	1	p65 | 	11228742,
GPD1	4455	glycerol-3-phosphate dehydrogenase 1 (soluble)	1	1	Gpd1 | 	11679167,
GPX4	4556	glutathione peroxidase 4 (phospholipid hydroperoxidase)	1	1	GPX4 | 	11905995,
GRP	4605	gastrin-releasing peptide	1	1	bombesin | 	15863242,
H2AFX	4739	H2A histone family, member X	1	1	H2AX | 	17174478,
HAGH	4805	hydroxyacylglutathione hydrolase	1	1	glyoxalase ii | 	12663085,
HMGB1	4983	high-mobility group box 1	1	1	amphoterin | 	10643818,
HRAS	5173	v-Ha-ras Harvey rat sarcoma viral oncogene homolog	1	1	p21 protein | 	10671549,
HSP90AA1	5253	heat shock protein 90kDa alpha (cytosolic), class A member 1	1	1	Hsp90 | 	17191135,
IDH3B	5385	isocitrate dehydrogenase 3 (NAD+) beta	1	1	isocitrate dehydrogenase | 	16188953,
IGFBP3	5472	insulin-like growth factor binding protein 3	1	1	bp53 | 	10671549,
IL10	5962	interleukin 10	1	1	interleukin 10 | 	15896810,
IL2	6001	interleukin 2	1	1	interleukin 2 | 	15896810,
IL4	6014	interleukin 4	1	1	interleukin 4 | 	15896810,
JUP	6207	junction plakoglobin	1	1	catenin | 	10643818,
KDR	6307	kinase insert domain receptor (a type III receptor tyrosine kinase)	1	1	Flk-1 | 	12654515,
KLHL22	25888	kelch-like 22 (Drosophila)	1	1	kelch like | 	17191135,
LGALS3	6563	lectin, galactoside-binding, soluble, 3	1	1	galectin 3 | 	12663085,
MAFF	6780	v-maf musculoaponeurotic fibrosarcoma oncogene homolog F (avian)	1	1	MafF | 	17191135,
MAFG	6781	v-maf musculoaponeurotic fibrosarcoma oncogene homolog G (avian)	1	1	MafG | 	17191135,
MAP2K3	6843	mitogen-activated protein kinase kinase 3	1	1	MKK3 | 	17496232,
MAP3K1	6848	mitogen-activated protein kinase kinase kinase 1	1	1	MEKK | 	17496232,
MB	6915	myoglobin	1	1	myoglobin | 	17496232,
MIF	7097	macrophage migration inhibitory factor (glycosylation-inhibiting factor)	1	1	Gif-sur-Yvette-Cedex | 	11562447,
MPHOSPH1	7212	M-phase phosphoprotein 1	1	1	mpp 1 | 	15031734,
MSRA	7377	methionine sulfoxide reductase A	1	1	MsrA | 	18588875,
MT-ATP6	7414	mitochondrially encoded ATP synthase 6	1	1	ATP6 | 	11050436,
MT-ATP8	7415	mitochondrially encoded ATP synthase 8	1	1	ATP8 | 	11050436,
MT-CO1	7419	mitochondrially encoded cytochrome c oxidase I	1	1	cytochrome c oxidase subunit i | 	17099894,
MT-ND1	7455	mitochondrially encoded NADH dehydrogenase 1	1	1	ND1 | 	11050436,
MT-ND2	7456	mitochondrially encoded NADH dehydrogenase 2	1	1	ND2 | 	11050436,
MT-ND3	7458	mitochondrially encoded NADH dehydrogenase 3	1	1	ND3 | 	11050436,
MT-ND4	7459	mitochondrially encoded NADH dehydrogenase 4	1	1	ND4 | 	11050436,
MT-ND4L	7460	mitochondrially encoded NADH dehydrogenase 4L	1	1	ND4L | 	11050436,
MT-ND5	7461	mitochondrially encoded NADH dehydrogenase 5	1	1	ND5 | 	11050436,
MT-ND6	7462	mitochondrially encoded NADH dehydrogenase 6	1	1	ND6 | 	11050436,
MTRR	7473	5-methyltetrahydrofolate-homocysteine methyltransferase reductase	1	1	Msr | 	18588875,
MYH14	23212	myosin, heavy chain 14	1	1	myosin | 	16877542,
MYH7	7577	myosin, heavy chain 7, cardiac muscle, beta	1	1	myosin heavy chain | 	16877542,
NDUFA5	7688	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 5, 13kDa	1	1	ubiquinone reductase | 	12901835,
NDUFS1	7707	NADH dehydrogenase (ubiquinone) Fe-S protein 1, 75kDa (NADH-coenzyme Q reductase)	1	1	NDUFS1 | 	16046141,
NFKBIA	7797	nuclear factor of kappa light polypeptide gene enhancer in B-cells inhibitor, alpha	1	1	ikappabalpha | 	12437573,
