#Symbol	HUGOID	Name	#Occur	#Paper	MatchString	PMIDs
ABCB7	48	ATP-binding cassette, sub-family B (MDR/TAP), member 7	2	1	Atm1p | 	11679167,
ABCD1	61	ATP-binding cassette, sub-family D (ALD), member 1	1	1	adrenoleukodystrophy | 	17317654,
ABP1	80	amiloride binding protein 1 (amine oxidase (copper-containing))	1	1	ABP | 	17191135,
ACO2	118	aconitase 2, mitochondrial	29	9	aconitase | 	10742195,11050436,11679167,11978481,12909279,14739060,15896810,16188953,16227974,
ACTB	132	actin, beta	2	1	beta-actin | 	15031734,
AIFM1	8768	apoptosis-inducing factor, mitochondrion-associated, 1	26	3	AIF | 	16046141,16050975,17150307,
AKR1B1	381	aldo-keto reductase family 1, member B1 (aldose reductase)	4	1	AKR1B1 | 	16406002,
AKT1	391	v-akt murine thymoma viral oncogene homolog 1	69	8	Rac | Akt-1 | PKB | 	11679167,12654515,16877542,17105868,17496232,17956327,18219386,18422522,
ALS2	443	amyotrophic lateral sclerosis 2 (juvenile)	3	2	ALS2 | 	17174478,18422522,
APAF1	576	apoptotic peptidase activating factor 1	48	2	Apaf1 | Apaf1-deficient | 	14739060,16046141,
APEX1	587	APEX nuclease (multifunctional DNA repair enzyme) 1	26	1	APE | 	9172131,
APOE	613	apolipoprotein E	13	5	APOE | apoE | apoprotein | ApoE | 	10643818,10742195,12663085,12893007,14739060,
APP	620	amyloid beta (A4) precursor protein (peptidase nexin-II, Alzheimer disease)	94	20	APP | amyloid | amyloid-like | amyloid-dependent | 	8910880,9337068,9675268,9745361,10643818,10742195,11978481,12663085,12893007,14739060,15031734,15105254,15896810,16194581,16227974,16406002,17174478,17191135,17937892,18219386,
ARHGAP24	25361	Rho GTPase activating protein 24	1	1	p73 | 	17099894,
ATF2	784	activating transcription factor 2	1	1	ATF-2 | 	17496232,
ATM	795	ataxia telangiectasia mutated	3	2	ATM | 	16227974,17174478,
ATOX1	798	ATX1 antioxidant protein 1 homolog (yeast)	2	2	Atx1 | 	10742195,12909279,
AVEN	13509	apoptosis, caspase activation inhibitor	1	1	Aven | 	17099894,
BACH2	14078	BTB and CNC homology 1, basic leucine zipper transcription factor 2	1	1	Bach-2 | 	17191135,
BAD	936	BCL2-antagonist of cell death	1	1	BAD | 	16877542,
BAK1	949	BCL2-antagonist/killer 1	2	2	Bak | 	11679167,16624679,
BAX	959	BCL2-associated X protein	3	1	BAX | 	11679167,
BBS9	30000	Bardet-Biedl syndrome 9	1	1	C18 | 	16764863,
BCL2	990	B-cell CLL/lymphoma 2	65	12	Bcl-2 | Bcl-2-like | bcl2 | Bcl2 | 	10671549,11679167,12392777,14739060,15850589,15896810,16046141,16050975,16242643,16624679,17105868,17496232,
BCL2L1	992	BCL2-like 1	1	1	Bcl-x | 	11679167,
